x,current_suppression_factor
2.765000000000000000e+02,3.147556096387384095e+00
2.770000000000000000e+02,3.149308642415701964e+00
2.775000000000000000e+02,3.151062137817516096e+00
2.780000000000000000e+02,3.152816635994991401e+00
2.785000000000000000e+02,3.154572084603464610e+00
2.790000000000000000e+02,3.156328537104584608e+00
2.795000000000000000e+02,3.158085941095379656e+00
2.800000000000000000e+02,3.159844350097051446e+00
2.805000000000000000e+02,3.161603711648254933e+00
2.810000000000000000e+02,3.163364079329810785e+00
2.815000000000000000e+02,3.165125400621932705e+00
2.820000000000000000e+02,3.166887729165139387e+00
2.825000000000000000e+02,3.168651012381126009e+00
2.830000000000000000e+02,3.170415303970167464e+00
2.835000000000000000e+02,3.172180551295393336e+00
2.840000000000000000e+02,3.173946808116892893e+00
2.845000000000000000e+02,3.175714021739164394e+00
2.850000000000000000e+02,3.177482245982182985e+00
2.855000000000000000e+02,3.179251428091746323e+00
2.860000000000000000e+02,3.181021621947780265e+00
2.865000000000000000e+02,3.182792774737319696e+00
2.870000000000000000e+02,3.184564940400307353e+00
2.875000000000000000e+02,3.186338066064950958e+00
2.880000000000000000e+02,3.188112205731274518e+00
2.885000000000000000e+02,3.189887306468593309e+00
2.890000000000000000e+02,3.191663422337082334e+00
2.895000000000000000e+02,3.193440500347097366e+00
