x,screening_profile_corrected
2.055000000000000000e+02,1.475117348059255262e-01
2.060000000000000000e+02,1.449074645430640240e-01
2.065000000000000000e+02,1.423491706050043770e-01
2.070000000000000000e+02,1.398360436836964260e-01
2.075000000000000000e+02,1.373672840238244486e-01
2.080000000000000000e+02,1.349421106412189431e-01
2.085000000000000000e+02,1.325597517701214978e-01
2.090000000000000000e+02,1.302194537589739798e-01
2.095000000000000000e+02,1.279204718520065842e-01
2.100000000000000000e+02,1.256620787736953404e-01
2.105000000000000000e+02,1.234435558329728261e-01
2.110000000000000000e+02,1.212642012072499970e-01
2.115000000000000000e+02,1.191233213579586114e-01
2.120000000000000000e+02,1.170202390246515012e-01
2.125000000000000000e+02,1.149542849409811718e-01
2.130000000000000000e+02,1.129248055490251756e-01
2.135000000000000000e+02,1.109311550051859940e-01
2.140000000000000000e+02,1.089727026245332214e-01
2.145000000000000000e+02,1.070488251664781509e-01
2.150000000000000000e+02,1.051589140185813231e-01
2.155000000000000000e+02,1.033023677522106054e-01
2.160000000000000000e+02,1.014785990549322975e-01
2.165000000000000000e+02,9.968702754670354105e-02
2.170000000000000000e+02,9.792708646964623509e-02
2.175000000000000000e+02,9.619821575565561111e-02
2.180000000000000000e+02,9.449986848204790235e-02
2.185000000000000000e+02,9.283150418178640062e-02
2.190000000000000000e+02,9.119259507319650571e-02
2.195000000000000000e+02,8.958261960431820881e-02
2.200000000000000000e+02,8.800106846459568311e-02
2.205000000000000000e+02,8.644743835516234542e-02
2.210000000000000000e+02,8.492123779013543983e-02
2.215000000000000000e+02,8.342198108492643316e-02
2.220000000000000000e+02,8.194919395450390998e-02
2.225000000000000000e+02,8.050240771209900281e-02
2.230000000000000000e+02,7.908116467154228946e-02
2.235000000000000000e+02,7.768501254900081476e-02
2.240000000000000000e+02,7.631350967624590809e-02
2.245000000000000000e+02,7.496621959831636928e-02
2.250000000000000000e+02,7.364271610433402449e-02
2.255000000000000000e+02,7.234257801423600587e-02
2.260000000000000000e+02,7.106539403352368778e-02
2.265000000000000000e+02,6.981075772244701994e-02
2.270000000000000000e+02,6.857827218084863730e-02
2.275000000000000000e+02,6.736754519341500713e-02
2.280000000000000000e+02,6.617819375056192832e-02
2.285000000000000000e+02,6.500983936359046311e-02
2.290000000000000000e+02,6.386211242735216620e-02
2.295000000000000000e+02,6.273464769936346053e-02
2.300000000000000000e+02,6.162708850978784736e-02
2.305000000000000000e+02,6.053908239877069802e-02
2.310000000000000000e+02,5.947028517908193451e-02
2.315000000000000000e+02,5.842035672613388880e-02
2.320000000000000000e+02,5.738896489844100279e-02
2.325000000000000000e+02,5.637578147497720321e-02
2.330000000000000000e+02,5.538048593842872375e-02
2.335000000000000000e+02,5.440276155473436348e-02
2.340000000000000000e+02,5.344229902393340947e-02
2.345000000000000000e+02,5.249879269691277300e-02
2.350000000000000000e+02,5.157194409848378513e-02
2.355000000000000000e+02,5.066145827653432965e-02
2.360000000000000000e+02,4.976704720180621933e-02
2.365000000000000000e+02,4.888842624481837956e-02
2.370000000000000000e+02,4.802531745666003410e-02
2.375000000000000000e+02,4.717744616921333567e-02
2.380000000000000000e+02,4.634454416112648162e-02
2.385000000000000000e+02,4.552634637702052123e-02
2.390000000000000000e+02,4.472259398266088815e-02
2.395000000000000000e+02,4.393303119898425702e-02
2.400000000000000000e+02,4.315740825034624500e-02
2.405000000000000000e+02,4.239547830934990019e-02
2.410000000000000000e+02,4.164700034191164829e-02
2.415000000000000000e+02,4.091173615901361887e-02
2.420000000000000000e+02,4.018945316219895564e-02
2.425000000000000000e+02,3.947992149850588356e-02
2.430000000000000000e+02,3.878291670987712297e-02
2.435000000000000000e+02,3.809821698766464870e-02
2.440000000000000000e+02,3.742560572931590696e-02
2.445000000000000000e+02,3.676486888896447758e-02
2.450000000000000000e+02,3.611579744463837977e-02
2.455000000000000000e+02,3.547818484157368168e-02
2.460000000000000000e+02,3.485182937307639006e-02
2.465000000000000000e+02,3.423653171331413059e-02
2.470000000000000000e+02,3.363209721485335008e-02
2.475000000000000000e+02,3.303833352779758648e-02
2.480000000000000000e+02,3.245505281691622723e-02
2.485000000000000000e+02,3.188206946410732101e-02
2.490000000000000000e+02,3.131920220793209253e-02
2.495000000000000000e+02,3.076627192648613215e-02
2.500000000000000000e+02,3.022310370205521721e-02
2.505000000000000000e+02,2.968952468158082836e-02
2.510000000000000000e+02,2.916536606905783743e-02
2.515000000000000000e+02,2.865046106087872427e-02
2.520000000000000000e+02,2.814464676850202823e-02
2.525000000000000000e+02,2.764776222605466044e-02
2.530000000000000000e+02,2.715965024571147246e-02
2.535000000000000000e+02,2.668015549502680134e-02
2.540000000000000000e+02,2.620912628738014324e-02
2.545000000000000000e+02,2.574641272659654659e-02
2.550000000000000000e+02,2.529186843473088878e-02
2.555000000000000000e+02,2.484534876162222336e-02
2.560000000000000000e+02,2.440671245220966609e-02
2.565000000000000000e+02,2.397581991874810081e-02
2.570000000000000000e+02,2.355253484977195069e-02
2.575000000000000000e+02,2.313672254277928178e-02
2.580000000000000000e+02,2.272825145688560020e-02
2.585000000000000000e+02,2.232699160386011211e-02
2.590000000000000000e+02,2.193281604644028646e-02
2.595000000000000000e+02,2.154559934567805424e-02
2.600000000000000000e+02,2.116521900681687940e-02
2.605000000000000000e+02,2.079155398097721347e-02
2.610000000000000000e+02,2.042448606043125239e-02
2.615000000000000000e+02,2.006389843272587264e-02
2.620000000000000000e+02,1.970967702712606365e-02
2.625000000000000000e+02,1.936170911934015706e-02
2.630000000000000000e+02,1.901988463084091502e-02
2.635000000000000000e+02,1.868409478242206989e-02
2.640000000000000000e+02,1.835423334804625953e-02
2.645000000000000000e+02,1.803019535552390432e-02
2.650000000000000000e+02,1.771187829647940387e-02
2.655000000000000000e+02,1.739918087250324000e-02
2.660000000000000000e+02,1.709200416277215431e-02
2.665000000000000000e+02,1.679025041408300015e-02
2.670000000000000000e+02,1.649382416760896211e-02
2.675000000000000000e+02,1.620263109127937154e-02
2.680000000000000000e+02,1.591657906710211220e-02
2.685000000000000000e+02,1.563557706440740075e-02
2.690000000000000000e+02,1.535953618911644128e-02
2.695000000000000000e+02,1.508836859641905781e-02
2.700000000000000000e+02,1.482198850332039526e-02
2.705000000000000000e+02,1.456031113937227527e-02
2.710000000000000000e+02,1.430325372378316029e-02
2.715000000000000000e+02,1.405073445287142141e-02
2.720000000000000000e+02,1.380267344297875752e-02
2.725000000000000000e+02,1.355899175336023992e-02
2.730000000000000000e+02,1.331961229609795669e-02
2.735000000000000000e+02,1.308445889318761088e-02
2.740000000000000000e+02,1.285345715460732736e-02
2.745000000000000000e+02,1.262653356840401538e-02
2.750000000000000000e+02,1.240361634803182310e-02
2.755000000000000000e+02,1.218463455428332384e-02
2.760000000000000000e+02,1.196951891297313823e-02
2.765000000000000000e+02,1.175820096759945879e-02
2.770000000000000000e+02,1.155061386841066753e-02
2.775000000000000000e+02,1.134669155472170683e-02
2.780000000000000000e+02,1.114636951636522634e-02
2.785000000000000000e+02,1.094958400462497060e-02
2.790000000000000000e+02,1.075627276703790269e-02
2.795000000000000000e+02,1.056637428594308509e-02
2.800000000000000000e+02,1.037982848756745236e-02
2.805000000000000000e+02,1.019657600722368752e-02
2.810000000000000000e+02,1.001655887357966700e-02
2.815000000000000000e+02,9.839719799572673939e-03
2.820000000000000000e+02,9.666002842731034189e-03
2.825000000000000000e+02,9.495352720904652252e-03
2.830000000000000000e+02,9.327715449476943824e-03
2.835000000000000000e+02,9.163037681043210286e-03
2.840000000000000000e+02,9.001267320321634097e-03
2.845000000000000000e+02,8.842352886941358403e-03
2.850000000000000000e+02,8.686244108833056365e-03
2.855000000000000000e+02,8.532891307317923626e-03
2.860000000000000000e+02,8.382245969730958701e-03
2.865000000000000000e+02,8.234260156030416208e-03
2.870000000000000000e+02,8.088887051380617976e-03
2.875000000000000000e+02,7.946080393528658775e-03
2.880000000000000000e+02,7.805795006048136739e-03
2.885000000000000000e+02,7.667986245756324044e-03
